ViewIndex,FOV1,FOV2,FOV3,FOV4,PositionX,PositionY,PositionZ,QuaternionW,QuaternionZ,QuaternionY,QuaternionX
0,-0.593516,0.593516,-0.411232,0.411232,0.325119,2.99578,-3.22536,0.98914,0.00494023,0.00294638,-0.146863
0,-0.593516,0.593516,-0.411232,0.411232,0.318497,2.99528,-3.22447,0.989105,0.00512377,0.00212862,-0.146826
0,-0.593516,0.593516,-0.411232,0.411232,0.311876,2.99477,-3.22358,0.989069,0.00530732,0.00131081,-0.146788
0,-0.593516,0.593516,-0.411232,0.411232,0.305255,2.99427,-3.22269,0.989033,0.00549088,0.000492941,-0.146751
0,-0.593516,0.593516,-0.411232,0.411232,0.298634,2.99377,-3.2218,0.988998,0.00567446,-0.000324989,-0.146713
0,-0.593516,0.593516,-0.411232,0.411232,0.292012,2.99327,-3.22092,0.988962,0.00585805,-0.00114298,-0.146676
0,-0.593516,0.593516,-0.411232,0.411232,0.285391,2.99276,-3.22003,0.988927,0.00604165,-0.00196102,-0.146638
0,-0.593516,0.593516,-0.411232,0.411232,0.27877,2.99226,-3.21914,0.988891,0.00622527,-0.00277913,-0.146601
0,-0.593516,0.593516,-0.411232,0.411232,0.272148,2.99176,-3.21825,0.988855,0.0064089,-0.0035973,-0.146563
0,-0.593516,0.593516,-0.411232,0.411232,0.265527,2.99125,-3.21737,0.98882,0.00659254,-0.00441552,-0.146526
0,-0.593516,0.593516,-0.411232,0.411232,0.258906,2.99075,-3.21648,0.988784,0.0067762,-0.0052338,-0.146489
0,-0.593516,0.593516,-0.411232,0.411232,0.252284,2.99025,-3.21559,0.988749,0.00695987,-0.00605215,-0.146451
0,-0.593516,0.593516,-0.411232,0.411232,0.245663,2.98975,-3.2147,0.988713,0.00714355,-0.00687055,-0.146414
0,-0.593516,0.593516,-0.411232,0.411232,0.239042,2.98924,-3.21382,0.988677,0.00732724,-0.00768901,-0.146376
0,-0.593516,0.593516,-0.411232,0.411232,0.23242,2.98874,-3.21293,0.988642,0.00751095,-0.00850753,-0.146339
0,-0.593516,0.593516,-0.411232,0.411232,0.225799,2.98824,-3.21204,0.988606,0.00769468,-0.00932611,-0.146301
0,-0.593516,0.593516,-0.411232,0.411232,0.219178,2.98773,-3.21115,0.988571,0.00787841,-0.0101447,-0.146264
0,-0.593516,0.593516,-0.411232,0.411232,0.212556,2.98723,-3.21027,0.988535,0.00806216,-0.0109634,-0.146226
0,-0.593516,0.593516,-0.411232,0.411232,0.205935,2.98673,-3.20938,0.988499,0.00824592,-0.0117822,-0.146189
0,-0.593516,0.593516,-0.411232,0.411232,0.199314,2.98623,-3.20849,0.988464,0.0084297,-0.012601,-0.146151
0,-0.593516,0.593516,-0.411232,0.411232,0.192692,2.98572,-3.2076,0.988428,0.00861349,-0.0134199,-0.146114
0,-0.593516,0.593516,-0.411232,0.411232,0.186071,2.98522,-3.20672,0.988392,0.00879729,-0.0142388,-0.146076
0,-0.593516,0.593516,-0.411232,0.411232,0.17945,2.98472,-3.20583,0.988357,0.0089811,-0.0150578,-0.146039
0,-0.593516,0.593516,-0.411232,0.411232,0.172829,2.98421,-3.20494,0.988321,0.00916493,-0.0158769,-0.146001
0,-0.593516,0.593516,-0.411232,0.411232,0.166207,2.98371,-3.20405,0.988286,0.00934877,-0.016696,-0.145964
0,-0.593516,0.593516,-0.411232,0.411232,0.159586,2.98321,-3.20317,0.98825,0.00953263,-0.0175151,-0.145926
0,-0.593516,0.593516,-0.411232,0.411232,0.152965,2.9827,-3.20228,0.988214,0.0097165,-0.0183344,-0.145889
0,-0.593516,0.593516,-0.411232,0.411232,0.146343,2.9822,-3.20139,0.988179,0.00990038,-0.0191536,-0.145851
0,-0.593516,0.593516,-0.411232,0.411232,0.139722,2.9817,-3.2005,0.988143,0.0100843,-0.019973,-0.145814
0,-0.593516,0.593516,-0.411232,0.411232,0.133101,2.9812,-3.19962,0.988107,0.0102682,-0.0207924,-0.145776
0,-0.593516,0.593516,-0.411232,0.411232,0.126479,2.98069,-3.19873,0.988072,0.0104521,-0.0216119,-0.145739
0,-0.593516,0.593516,-0.411232,0.411232,0.119858,2.98019,-3.19784,0.988036,0.010636,-0.0224314,-0.145701
0,-0.593516,0.593516,-0.411232,0.411232,0.113237,2.97969,-3.19695,0.988001,0.01082,-0.023251,-0.145664
0,-0.593516,0.593516,-0.411232,0.411232,0.106615,2.97918,-3.19607,0.987965,0.0110039,-0.0240706,-0.145626
0,-0.593516,0.593516,-0.411232,0.411232,0.0999941,2.97868,-3.19518,0.987929,0.0111879,-0.0248903,-0.145589
0,-0.593516,0.593516,-0.411232,0.411232,0.0933728,2.97818,-3.19429,0.987894,0.0113719,-0.0257101,-0.145551
0,-0.593516,0.593516,-0.411232,0.411232,0.0867515,2.97768,-3.1934,0.987858,0.0115559,-0.0265299,-0.145514
0,-0.593516,0.593516,-0.411232,0.411232,0.0801302,2.97717,-3.19252,0.987822,0.0117399,-0.0273498,-0.145476
0,-0.593516,0.593516,-0.411232,0.411232,0.0735088,2.97667,-3.19163,0.987787,0.0119239,-0.0281697,-0.145439
0,-0.593516,0.593516,-0.411232,0.411232,0.0668875,2.97617,-3.19074,0.987751,0.012108,-0.0289897,-0.145401
0,-0.593516,0.593516,-0.411232,0.411232,0.0602662,2.97566,-3.18985,0.987715,0.012292,-0.0298098,-0.145363
0,-0.593516,0.593516,-0.411232,0.411232,0.0536449,2.97516,-3.18897,0.98768,0.0124761,-0.0306299,-0.145326
0,-0.593516,0.593516,-0.411232,0.411232,0.0470236,2.97466,-3.18808,0.987644,0.0126602,-0.03145,-0.145288
0,-0.593516,0.593516,-0.411232,0.411232,0.0404023,2.97416,-3.18719,0.987608,0.0128443,-0.0322703,-0.145251
0,-0.593516,0.593516,-0.411232,0.411232,0.033781,2.97365,-3.1863,0.987573,0.0130284,-0.0330906,-0.145213
0,-0.593516,0.593516,-0.411232,0.411232,0.0271596,2.97315,-3.18542,0.987537,0.0132125,-0.0339109,-0.145176
0,-0.593516,0.593516,-0.411232,0.411232,0.0205383,2.97265,-3.18453,0.987502,0.0133966,-0.0347313,-0.145138
